Child_Term,Parent_Term,Relation
GO:0043232,GO:0043229,is_a
GO:0043231,GO:0043229,is_a
GO:0030287,GO:0042597,is_a
GO:0016035,GO:0042575,is_a
GO:0016035,GO:0044446,is_a
GO:0043528,GO:0043527,is_a
GO:0031515,GO:0043527,is_a
GO:0035657,GO:0034708,is_a
GO:0097196,GO:0043234,is_a
GO:0035859,GO:0043234,is_a
GO:0035649,GO:0043234,is_a
GO:0034518,GO:0043234,is_a
GO:0000439,GO:0032806,is_a
GO:0000439,GO:0043234,part_of
GO:0033255,GO:0032777,is_a
GO:0031967,GO:0031975,is_a
GO:0031967,GO:0044446,is_a
GO:0032473,GO:0044455,is_a
GO:0005745,GO:0031305,is_a
GO:0005745,GO:0043234,is_a
GO:0031417,GO:0031414,is_a
GO:0031416,GO:0031414,is_a
GO:0031415,GO:0031414,is_a
GO:0046658,GO:0031225,is_a
GO:0046658,GO:0031226,is_a
GO:0031225,GO:0031224,is_a
GO:0071561,GO:0044232,is_a
GO:0071261,GO:0071256,is_a
GO:0005784,GO:0071256,is_a
GO:0005784,GO:0031205,has_part
GO:0010494,GO:0035770,is_a
GO:0000932,GO:0035770,is_a
GO:0032040,GO:0030684,is_a
GO:0030688,GO:0030684,is_a
GO:0030687,GO:0030684,is_a
GO:0030686,GO:0030684,is_a
GO:0071003,GO:0030532,is_a
GO:0030684,GO:0030529,is_a
GO:0030677,GO:0030529,is_a
GO:0000936,GO:0030428,is_a
GO:0072546,GO:0030176,part_of
GO:0072546,GO:0043234,is_a
GO:0071458,GO:0030176,is_a
GO:0030665,GO:0030136,part_of
GO:0030665,GO:0030662,is_a
GO:0030123,GO:0030119,is_a
GO:0030131,GO:0030118,part_of
GO:0030131,GO:0030119,is_a
GO:0030125,GO:0030665,part_of
GO:0030125,GO:0030120,is_a
GO:0030125,GO:0030118,is_a
GO:0030120,GO:0030662,part_of
GO:0030120,GO:0044433,is_a
GO:0030120,GO:0030117,is_a
GO:0030118,GO:0030117,is_a
GO:0017054,GO:0017053,is_a
GO:0016587,GO:0016585,is_a
GO:0016586,GO:0016585,is_a
GO:0016514,GO:0016585,is_a
GO:0008623,GO:0016585,is_a
GO:0030136,GO:0030135,is_a
GO:0030134,GO:0030135,is_a
GO:0030134,GO:0030133,is_a
GO:0045009,GO:0016023,is_a
GO:0030135,GO:0016023,is_a
GO:0030133,GO:0016023,is_a
GO:0034707,GO:0034702,is_a
GO:0032592,GO:0031301,is_a
GO:0032592,GO:0044455,is_a
GO:0031301,GO:0016021,is_a
GO:0031301,GO:0031300,is_a
GO:0016021,GO:0031224,is_a
GO:0070469,GO:0044425,is_a
GO:0045121,GO:0044425,is_a
GO:0031224,GO:0044425,is_a
GO:0031201,GO:0044425,is_a
GO:0031201,GO:0043234,is_a
GO:0019898,GO:0044425,is_a
GO:0033178,GO:0016469,part_of
GO:0033178,GO:0044425,is_a
GO:0033178,GO:0043234,is_a
GO:0033177,GO:0016469,part_of
GO:0033177,GO:0044425,is_a
GO:0033177,GO:0043234,is_a
GO:0016469,GO:0044425,is_a
GO:0016469,GO:0043234,is_a
GO:0046930,GO:0016021,part_of
GO:0046930,GO:0044425,is_a
GO:0046930,GO:0043234,is_a
GO:0034702,GO:0016021,part_of
GO:0034702,GO:0044425,is_a
GO:0034702,GO:0043234,is_a
GO:0044232,GO:0031090,part_of
GO:0044232,GO:0044425,is_a
GO:0031300,GO:0031224,is_a
GO:0031300,GO:0031090,part_of
GO:0031300,GO:0044446,is_a
GO:0031312,GO:0019898,is_a
GO:0031312,GO:0031090,part_of
GO:0031312,GO:0044446,is_a
GO:0031090,GO:0016020,is_a
GO:0019867,GO:0016020,is_a
GO:0031475,GO:0016459,is_a
GO:0016460,GO:0016459,is_a
GO:0012507,GO:0030134,part_of
GO:0012507,GO:0030662,is_a
GO:0012507,GO:0030658,is_a
GO:0030127,GO:0030120,is_a
GO:0030127,GO:0012507,part_of
GO:0033110,GO:0030659,is_a
GO:0033110,GO:0016023,part_of
GO:0030662,GO:0030135,part_of
GO:0030662,GO:0030659,is_a
GO:0030658,GO:0030133,part_of
GO:0030658,GO:0030659,is_a
GO:0030906,GO:0030904,part_of
GO:0030906,GO:0044425,is_a
GO:0030906,GO:0043234,is_a
GO:0030905,GO:0030904,part_of
GO:0030905,GO:0044425,is_a
GO:0030905,GO:0043234,is_a
GO:0030659,GO:0031090,is_a
GO:0030659,GO:0044433,is_a
GO:0030659,GO:0016023,part_of
GO:0030659,GO:0012505,part_of
GO:0042175,GO:0044425,is_a
GO:0042175,GO:0016020,is_a
GO:0042175,GO:0012505,part_of
GO:0030904,GO:0044425,is_a
GO:0030904,GO:0012505,part_of
GO:0030904,GO:0043234,is_a
GO:0005834,GO:0031234,is_a
GO:0005834,GO:0043234,is_a
GO:0031235,GO:0031226,is_a
GO:0031235,GO:0009898,part_of
GO:0070449,GO:0008023,is_a
GO:0035101,GO:0008023,is_a
GO:0032044,GO:0008023,is_a
GO:0016593,GO:0016591,part_of
GO:0016593,GO:0008023,is_a
GO:0034272,GO:0005942,is_a
GO:0034271,GO:0005942,is_a
GO:0032126,GO:0044448,is_a
GO:0032126,GO:0043234,is_a
GO:0000145,GO:0044448,is_a
GO:0000145,GO:0043234,is_a
GO:0000133,GO:0044448,is_a
GO:0000133,GO:0030427,part_of
GO:0000133,GO:0043234,is_a
GO:0070250,GO:0031253,is_a
GO:0070250,GO:0005937,part_of
GO:0043332,GO:0044463,is_a
GO:0043332,GO:0030427,is_a
GO:0043332,GO:0005937,part_of
GO:0001400,GO:0044463,is_a
GO:0001400,GO:0005937,part_of
GO:0005935,GO:0030427,is_a
GO:0005935,GO:0005933,part_of
GO:0005934,GO:0030427,is_a
GO:0005934,GO:0005933,part_of
GO:0005905,GO:0044425,is_a
GO:0005905,GO:0012505,part_of
GO:0005887,GO:0016021,is_a
GO:0005887,GO:0031226,is_a
